
Packet #  352 | Node   1 | TX ID  ---   | Temp   68.1 F | Light   106 lx
Time 00:08:09 | dT 00:01 | RSSI  4.84mW | Humidity 22 % | Extrnl 1382 mV

Packet #  353 | Node   1 | TX ID  ---   | Temp   67.9 F | Light   120 lx
Time 00:08:10 | dT 00:01 | RSSI  4.84mW | Humidity 23 % | Extrnl 1390 mV

Packet #  354 | Node   1 | TX ID  ---   | Temp   68.2 F | Light   106 lx
Time 00:08:12 | dT 00:02 | RSSI  5.01mW | Humidity 22 % | Extrnl 1356 mV

Packet #  355 | Node   1 | TX ID  ---   | Temp   68.2 F | Light   109 lx
Time 00:08:14 | dT 00:02 | RSSI  5.01mW | Humidity 23 % | Extrnl 1353 mV

Packet #  356 | Node   1 | TX ID  ---   | Temp   68.0 F | Light   106 lx
Time 00:08:15 | dT 00:01 | RSSI  4.84mW | Humidity 22 % | Extrnl 1356 mV

Packet #  357 | Node   1 | TX ID  ---   | Temp   68.1 F | Light   117 lx
Time 00:08:17 | dT 00:02 | RSSI  4.84mW | Humidity 22 % | Extrnl 1352 mV

Packet #  358 | Node   1 | TX ID  ---   | Temp   68.2 F | Light   106 lx
Time 00:08:19 | dT 00:02 | RSSI  5.01mW | Humidity 22 % | Extrnl 1356 mV

Packet #  359 | Node   1 | TX ID  ---   | Temp   68.2 F | Light   106 lx
Time 00:08:21 | dT 00:02 | RSSI  5.01mW | Humidity 22 % | Extrnl 1359 mV

Packet #  360 | Node   1 | TX ID  ---   | Temp   68.1 F | Light   117 lx
Time 00:08:22 | dT 00:01 | RSSI  5.21mW | Humidity 22 % | Extrnl 1358 mV

Packet #  361 | Node   1 | TX ID  ---   | Temp   68.1 F | Light   106 lx
Time 00:08:24 | dT 00:02 | RSSI  5.21mW | Humidity 22 % | Extrnl 1376 mV

Packet #  362 | Node   1 | TX ID  ---   | Temp   68.2 F | Light   119 lx
Time 00:08:25 | dT 00:01 | RSSI  5.01mW | Humidity 22 % | Extrnl 1387 mV

Packet #  363 | Node   1 | TX ID  ---   | Temp   68.1 F | Light   109 lx
Time 00:08:26 | dT 00:01 | RSSI  5.01mW | Humidity 22 % | Extrnl 1396 mV

Packet #  364 | Node   1 | TX ID  ---   | Temp   68.2 F | Light   109 lx
Time 00:08:27 | dT 00:01 | RSSI  5.01mW | Humidity 22 % | Extrnl 1373 mV

Packet #  365 | Node   1 | TX ID  ---   | Temp   68.1 F | Light   106 lx
Time 00:08:29 | dT 00:02 | RSSI  5.01mW | Humidity 22 % | Extrnl 1355 mV


